00006779-02_1_front;145,116,100;48,47,52;220,178,153
00002109-02_1_front;229,209,202;63,59,56;221,185,159
00001249-11_4_full;78,75,82;98,122,156;217,171,147
00000951-01_4_full;216,205,201;21,34,51;236,199,173
00006101-01_4_full;42,43,48;218,227,234;243,217,200
00002121-48_4_full;227,232,235;13,17,28;231,215,199
00003217-01_1_front;217,227,229;238,236,237;235,199,173
00003018-01_1_front;243,238,218;26,40,67;235,210,188
00007135-02_1_front;32,31,29;115,110,104;225,191,164
00003338-07_7_additional;240,238,239;168,186,196;242,223,208
00006272-02_7_additional;231,214,198;18,31,40;205,149,112
00001766-01_4_full;248,244,243;88,111,142;199,165,156
00001953-03_1_front;52,11,5;35,29,31;223,169,133
00006221-02_4_full;242,241,239;27,24,19;169,121,99
00003732-63_4_full;243,238,244;184,198,209;240,204,168
00001722-05_1_front;51,51,53;31,36,40;219,184,162
00003168-03_1_front;238,238,236;51,54,59;217,181,159
00007366-03_1_front;217,209,220;199,207,220;233,191,179
00006421-10_4_full;228,242,242;228,238,240;239,196,153
00002801-02_4_full;134,130,129;199,206,212;230,177,145
00005289-02_4_full;244,242,245;242,240,241;209,158,127
00003829-02_1_front;244,243,249;13,13,11;232,201,180
00004993-02_4_full;209,209,209;38,30,27;224,166,129
00007258-01_4_full;38,62,96;185,184,190;199,145,109
00003686-01_4_full;26,25,30;163,177,186;213,167,144
00003608-09_1_front;33,32,37;18,59,77;212,157,127
00001061-01_4_full;248,91,84;24,31,39;244,221,207
00004907-01_4_full;44,28,39;34,5,0;229,193,171
00000401-05_4_full;228,226,227;56,87,116;219,177,155
00002716-01_4_full;138,138,146;13,14,16;236,202,177
00004897-07_4_full;172,41,47;243,242,240;200,143,113
00000900-03_4_full;226,206,197;51,51,51;219,173,147
00006870-02_7_additional;70,70,78;198,206,209;225,188,169
00000082-04_4_full;232,231,227;13,13,11;231,210,193
00003408-01_4_full;243,241,242;106,135,149;210,168,144
00000501-02_4_full;238,231,225;55,105,140;231,193,170
00005172-02_1_front;243,243,243;30,30,30;226,181,140
00003974-02_4_full;249,248,246;98,118,153;239,200,167
00007198-03_7_additional;236,236,236;33,29,30;215,165,132
00001750-01_1_front;40,39,44;34,32,33;224,182,160
00007730-01_7_additional;196,151,120;28,24,21;207,166,144
00002558-02_4_full;244,239,236;15,14,12;247,234,225
00005550-01_4_full;239,237,238;17,16,12;233,196,177
00007067-01_4_full;183,181,182;226,222,219;231,191,166
00005329-02_1_front;109,88,57;19,19,17;234,203,175
00001011-08_4_full;206,212,226;38,44,66;213,172,152
00001321-08_1_front;255,232,235;86,119,162;229,194,175
00007213-01_1_front;232,228,227;224,141,99;235,199,165
00000619-05_7_additional;238,246,248;18,17,23;240,223,205
00001396-02_4_full;141,143,142;13,13,11;229,202,183
00005085-45_4_full;251,240,234;10,26,60;241,182,140
00000730-02_1_front;53,53,61;92,86,100;226,197,179
00007159-05_7_additional;54,44,45;74,68,70;212,163,146
00004928-01_4_full;232,232,234;41,41,43;206,160,137
00007267-03_1_front;235,218,211;231,227,228;217,175,150
00007185-01_4_full;241,234,224;221,226,230;226,199,180
00004419-01_4_full;13,13,11;22,46,72;240,212,188
00002323-02_1_front;15,14,10;16,16,14;238,202,176
00001619-02_1_front;43,47,50;134,161,182;229,197,176
00003385-01_1_front;239,237,238;14,18,27;225,189,165
00006219-04_4_full;246,245,241;225,228,233;226,172,138
00007568-04_4_full;86,84,95;130,148,162;227,191,165
00000117-04_4_full;246,247,251;136,162,187;235,182,138
00005953-02_7_additional;229,222,214;152,114,101;191,126,88
00000608-01_1_front;248,247,245;93,126,161;241,212,194
00000479-02_4_full;255,250,244;54,51,68;247,225,214
00006863-52_4_full;255,121,118;238,243,247;244,197,151
00001801-13_4_full;30,69,174;56,72,108;247,204,159
00007662-03_4_full;240,240,238;52,51,59;207,161,137
00007210-05_1_front;22,21,26;40,54,91;219,168,137
00006927-02_4_full;215,224,223;117,139,152;223,175,129
00007893-03_1_front;213,103,128;50,73,104;224,192,171
00002121-33_7_additional;247,247,249;72,95,129;213,169,140
00005589-01_4_full;86,93,101;151,104,84;163,112,93
00005202-04_4_full;100,92,56;139,169,195;232,204,183
00005184-01_4_full;33,42,97;242,241,247;231,196,174
00002215-03_7_additional;78,71,78;39,33,33;171,120,103
00007011-06_7_additional;218,141,121;186,199,207;193,135,98
00005521-02_4_full;247,247,249;51,45,47;248,208,182
00007295-01_7_additional;218,214,211;10,11,15;212,168,131
00002045-04_4_full;195,194,192;209,208,204;221,179,154
00005202-02_4_full;232,230,231;228,233,239;229,198,177
00003964-05_4_full;244,240,237;81,114,149;237,200,158
00001095-03_4_full;240,240,238;194,195,190;222,185,158
00001772-03_1_front;232,227,224;152,166,166;236,204,183
00002359-02_4_full;144,116,102;146,128,118;255,224,203
00001016-01_4_full;65,48,40;34,34,36;210,163,137
00004965-07_4_full;1,103,201;253,253,255;253,227,212
00003919-06_1_front;27,26,24;184,48,34;236,200,174
00006700-19_4_full;243,237,237;23,23,23;187,149,128
00004539-01_4_full;233,228,234;125,138,157;213,160,129
00007721-45_4_full;141,143,156;201,210,215;250,222,198
00000533-06_7_additional;236,236,236;68,102,140;223,178,149
00003523-61_1_front;227,111,112;70,94,128;208,149,115
00006943-12_4_full;236,230,172;22,71,127;233,195,174
00003917-85_1_front;27,74,90;30,30,32;215,170,137
00001756-03_4_full;200,189,187;118,96,55;196,136,102
00003628-02_7_additional;231,255,255;22,23,28;226,191,163
00002720-03_1_front;36,31,28;93,76,69;235,207,186
00005957-03_4_full;243,236,218;122,148,173;237,216,197
00002652-02_4_full;83,64,70;34,32,35;248,214,177
00006657-05_4_full;35,30,36;247,247,247;240,212,191
00003002-07_4_full;244,225,208;164,161,156;246,188,138
00000687-02_1_front;37,33,32;43,41,44;230,194,168
00005035-02_1_front;240,236,235;68,89,116;205,168,149
00005820-02_1_front;248,247,245;16,15,11;236,206,182
00002586-08_1_front;244,244,244;125,118,92;232,204,183
00007383-03_1_front;161,153,164;37,37,45;224,173,144
00003256-02_1_front;230,54,64;21,21,19;245,226,209
00005183-01_1_front;186,189,194;42,43,48;224,183,161
00002678-52_7_additional;215,58,51;204,214,224;226,189,163
00001052-06_7_additional;238,239,233;240,246,244;230,188,164
00001318-02_1_front;19,19,19;32,31,29;235,195,169
00000286-01_1_front;227,231,234;245,243,244;227,207,196
00006746-04_4_full;41,35,35;255,255,250;243,194,154
00002329-02_4_full;32,22,23;31,27,28;246,220,205
00003377-02_7_additional;221,209,197;33,33,31;214,164,139
00005913-05_4_full;226,174,134;240,240,242;228,186,162
00006300-02_7_additional;179,173,175;216,219,224;230,185,156
00005009-01_7_additional;174,173,178;92,122,156;219,173,149
00006633-02_1_front;30,34,46;33,56,87;245,226,212
00001558-02_1_front;96,85,93;150,44,56;206,155,124
00007777-04_4_full;240,238,239;31,46,75;230,193,167
00003558-02_7_additional;242,242,242;230,231,235;228,182,166
00006569-01_1_front;46,50,53;176,189,197;222,187,165
00007479-03_4_full;161,141,132;29,29,29;186,123,90
00001756-01_1_front;213,202,200;53,57,60;221,175,149
00007263-02_4_full;149,136,119;51,45,45;238,199,182
00002231-02_4_full;38,35,42;241,241,243;225,188,161
00005747-06_4_full;244,249,169;37,42,71;244,217,190
00000936-03_4_full;244,242,245;78,110,149;197,136,107
00007603-01_4_full;35,35,37;233,231,234;236,209,188
00001566-01_4_full;44,46,45;52,68,93;226,195,177
00006604-02_4_full;215,213,214;151,178,197;210,169,147
00007399-02_4_full;171,204,255;229,228,226;230,189,159
00002732-06_7_additional;205,183,186;136,171,199;239,204,174
00007883-01_7_additional;239,243,246;30,29,35;233,202,182
00006642-04_4_full;232,239,171;233,233,235;227,188,159
00006126-03_1_front;124,126,141;168,184,197;205,173,162
00006717-07_7_additional;135,8,51;84,116,154;231,186,153
00001212-25_4_full;105,98,105;242,242,244;234,182,142
00005244-02_4_full;236,233,226;226,219,209;229,190,173
00001253-01_4_full;34,33,31;214,217,222;232,204,183
00005257-03_1_front;232,230,233;33,41,54;223,187,165
00003192-06_7_additional;33,41,90;238,237,242;234,205,191
00007286-02_4_full;110,146,172;26,27,22;237,203,175
00005631-02_4_full;32,30,44;75,110,148;195,144,113
00005796-05_1_front;192,192,190;49,61,113;238,208,180
00004916-02_4_full;52,51,82;53,52,57;225,196,178
00005726-01_1_front;207,207,207;40,75,113;170,122,100
00003887-02_4_full;242,242,244;18,19,23;230,197,180
00001582-03_4_full;35,36,38;196,210,211;239,207,184
00001801-19_4_full;253,16,44;55,74,114;230,178,141
00000560-02_7_additional;224,220,209;36,31,37;222,174,152
00006962-03_1_front;39,39,41;251,247,244;237,219,205
00004727-01_4_full;37,37,39;74,106,147;230,193,174
00001671-01_1_front;233,234,236;37,42,48;218,187,169
00005552-03_1_front;122,117,124;55,54,59;223,180,163
00002320-06_1_front;237,237,237;219,151,152;191,130,102
00006996-01_4_full;245,245,247;23,23,21;203,157,131
00006273-01_4_full;221,221,221;15,17,16;211,172,155
00007931-01_4_full;34,36,57;232,236,239;223,191,170
00006173-02_4_full;160,159,167;106,141,171;230,186,157
00006652-05_7_additional;205,222,238;101,131,167;212,165,145
00007798-01_1_front;234,234,236;93,127,164;231,198,179
00004598-01_4_full;237,236,242;31,32,37;242,209,190
00002211-02_1_front;238,237,235;226,226,226;233,201,186
00005702-11_4_full;179,12,100;233,235,234;247,203,166
00003660-08_1_front;192,213,230;20,32,54;217,175,151
00004599-02_4_full;244,242,243;238,236,239;235,207,185
00002007-02_4_full;229,227,228;48,46,47;120,78,62
00007979-04_4_full;246,246,248;125,78,48;222,163,119
00003728-01_1_front;234,195,154;94,124,162;255,221,193
00006334-04_4_full;251,248,241;251,247,246;242,214,193
00005675-01_4_full;45,44,42;240,239,237;238,212,197
00006962-02_1_front;32,33,35;246,246,246;232,214,200
00001635-06_7_additional;40,38,60;83,60,52;143,96,76
00005085-32_4_full;48,60,158;144,170,187;255,214,182
00003913-04_4_full;252,250,251;242,223,216;243,208,186
00001989-03_7_additional;48,47,53;33,31,34;224,178,145
00005009-01_4_full;163,161,166;38,55,83;228,193,174
00002882-01_4_full;224,224,236;165,184,198;237,218,201
00006971-01_4_full;20,19,15;240,238,241;235,193,169
00007710-01_4_full;236,234,239;27,27,27;226,194,173
00007777-07_7_additional;176,18,32;24,34,59;231,188,156
00000940-03_4_full;240,238,239;37,34,29;220,174,150
00000628-03_7_additional;245,242,237;56,60,95;249,213,187
00000829-07_4_full;181,11,37;24,23,21;233,187,163
00007964-01_4_full;31,29,30;238,236,237;173,114,84
00007375-02_4_full;207,102,80;244,242,245;233,201,180
00002568-01_4_full;251,250,255;84,114,148;222,178,151
00004731-06_4_full;243,242,240;105,1,8;213,159,123
00005328-03_4_full;110,0,0;17,24,32;237,206,186
00002830-03_1_front;222,217,214;158,171,179;220,180,155
00000119-02_4_full;233,232,228;15,14,12;168,98,73
00005271-02_1_front;233,232,227;73,101,141;212,167,138
00005345-04_4_full;240,233,217;34,32,35;229,201,187
00002530-02_4_full;227,226,224;192,200,202;177,114,81
00001578-05_1_front;245,241,240;12,12,10;238,202,176
00003590-02_1_front;61,67,81;127,155,179;207,163,128
00000985-01_7_additional;187,182,188;237,235,238;239,212,191
00000886-02_7_additional;25,21,22;24,19,16;203,143,107
00006726-01_1_front;65,86,129;15,14,10;214,168,145
00000085-02_7_additional;208,208,210;190,203,211;224,188,164
00005687-02_1_front;93,96,105;18,21,28;184,124,100
00006550-01_1_front;224,223,229;124,154,180;241,210,190
00007621-01_4_full;41,33,44;111,129,153;241,201,166
00000258-06_7_additional;249,239,237;94,120,147;240,215,195
00003338-09_7_additional;222,95,136;74,100,117;241,215,190
00001933-02_1_front;214,215,217;206,219,228;239,218,191
00003687-23_4_full;254,240,231;8,2,2;254,206,170
00003810-01_1_front;240,238,239;173,190,206;152,91,63
00001915-02_4_full;230,231,236;46,55,84;230,187,152
00005502-04_4_full;240,205,186;35,34,30;214,173,153
00005926-01_4_full;67,62,58;224,229,233;201,141,115
00003073-02_4_full;226,226,234;70,79,94;113,62,43
00002620-02_1_front;255,252,243;255,255,255;227,174,140
00006213-02_1_front;232,218,215;12,13,18;226,188,165
00005364-07_4_full;31,29,30;36,36,38;231,190,168
00002613-03_7_additional;195,161,133;39,41,40;226,184,159
00000237-02_1_front;80,68,78;96,91,95;234,203,183
00002184-03_4_full;207,190,172;28,27,23;238,205,186
00001172-02_4_full;45,34,38;252,252,250;228,182,149
00001894-02_4_full;233,232,237;33,33,31;161,104,77
00005251-03_1_front;44,39,36;41,36,32;124,73,44
00004778-04_4_full;132,157,179;24,23,18;202,140,103
00000608-01_7_additional;23,24,29;23,22,27;225,187,164
00000908-02_1_front;207,202,199;36,40,65;223,178,145
00005737-03_4_full;53,47,47;53,45,43;251,225,202
00002361-03_7_additional;62,32,34;46,40,40;219,181,162
00005017-41_4_full;27,25,28;238,237,243;242,208,181
00000030-03_1_front;66,69,74;32,32,32;212,163,146
00003780-01_4_full;211,209,210;22,21,26;210,157,126
00005671-02_1_front;18,18,20;69,91,130;195,140,110
00000022-02_4_full;235,235,235;224,225,227;242,211,190
00004036-01_4_full;243,241,244;43,42,40;237,209,187
00002693-06_1_front;215,187,176;208,207,212;242,215,196
00002157-05_4_full;191,184,178;43,42,47;217,172,139
00003765-03_4_full;17,62,145;240,239,244;220,177,158
00007670-07_1_front;232,231,236;16,16,14;195,128,86
00000379-01_4_full;241,241,239;19,18,16;231,205,182
00003298-04_4_full;231,220,214;36,46,58;228,197,179
00001930-03_1_front;208,242,241;247,247,247;228,179,138
00003312-02_1_front;245,241,238;27,26,32;241,210,181
00003449-05_4_full;63,63,73;151,170,187;209,167,143
00003112-08_4_full;215,124,155;61,55,57;225,194,174
00003111-02_1_front;220,225,229;111,112,130;234,202,179
00002089-11_7_additional;244,214,204;13,16,25;233,211,190
00001698-02_1_front;232,230,231;147,144,151;192,144,108
00000682-02_1_front;236,235,233;116,141,161;233,192,172
00002717-01_4_full;242,238,235;232,231,227;199,148,121
00004325-03_4_full;229,225,222;82,0,0;202,143,111
00001873-01_1_front;46,44,45;34,33,31;219,178,158
00001517-01_1_front;229,229,229;98,46,50;234,200,175
00001710-01_7_additional;242,242,242;13,13,11;239,221,197
00005154-01_4_full;243,243,245;32,47,66;218,168,141
00003919-03_7_additional;44,44,44;18,18,18;236,204,179
00001220-01_4_full;234,234,236;47,50,55;219,180,151
00003359-02_1_front;44,42,45;56,63,82;207,160,130
00000935-01_1_front;52,50,55;31,30,36;228,190,169
00000103-03_1_front;191,188,195;253,92,38;223,182,160
00004593-03_4_full;242,241,239;59,54,60;245,210,180
00004949-02_4_full;251,250,246;41,32,51;246,211,173
00002206-02_1_front;238,234,233;118,153,185;238,221,205
00003135-04_4_full;245,244,240;39,34,30;247,221,196
00005795-02_4_full;152,151,165;43,45,60;243,210,179
00000720-03_4_full;243,217,204;35,41,55;236,198,175
00006045-04_4_full;97,96,112;48,47,55;232,191,169
00000367-01_1_front;239,237,242;18,22,23;234,216,202
00006421-18_4_full;241,191,140;216,226,236;243,198,156
00003583-08_4_full;217,212,209;255,98,91;228,164,129
00002821-05_4_full;247,243,240;168,181,190;239,182,137
00006955-01_4_full;36,36,38;60,61,66;201,169,146
00003841-01_4_full;43,39,38;84,99,128;254,212,190
00001627-06_1_front;244,244,246;71,103,150;228,187,169
00000117-11_1_front;48,55,110;200,211,213;218,159,115
00007790-02_7_additional;243,243,245;51,49,54;217,170,140
00005689-01_1_front;234,232,235;24,23,21;215,167,145
00003718-02_1_front;49,33,43;50,44,48;239,200,169
00006326-02_4_full;47,58,112;250,249,247;244,200,165
00007032-05_1_front;242,242,240;19,19,17;223,181,157
00000062-01_1_front;32,32,32;58,91,126;220,175,152
00006710-03_1_front;149,144,141;28,28,26;229,193,169
00002852-03_1_front;255,254,255;57,84,129;244,217,198
00007015-04_4_full;83,0,0;36,38,53;234,187,157
00001188-04_4_full;250,251,255;24,28,31;218,174,149
00005239-03_4_full;236,235,240;26,25,21;221,176,143
00005012-02_7_additional;242,237,133;124,149,171;233,215,201
00002162-13_4_full;182,180,181;251,251,249;243,203,168
00002122-01_1_front;244,242,245;18,20,19;239,216,198
00000010-01_4_full;33,29,26;31,34,41;241,224,204
00007617-01_1_front;231,227,228;23,33,45;226,189,170
00006091-04_4_full;179,182,189;116,137,168;203,157,134
00007160-02_1_front;243,241,242;78,94,83;147,86,58
00003559-01_1_front;251,255,255;29,49,73;238,217,196
00001615-05_4_full;79,14,20;26,26,24;173,125,103
00000890-02_4_full;17,15,16;20,20,18;230,198,177
00006947-03_4_full;234,233,231;138,157,164;242,226,213
00002703-09_1_front;181,200,217;164,186,200;212,163,131
00002162-58_4_full;0,89,87;207,220,228;248,214,186
00001846-01_4_full;249,248,243;170,184,195;240,198,156
00000218-01_1_front;248,246,247;82,134,181;243,225,211
00002970-01_7_additional;58,53,49;76,75,71;232,201,180
00000062-01_7_additional;29,31,30;25,26,28;222,169,138
00006211-02_1_front;42,37,43;191,197,209;252,229,213
00005000-09_1_front;26,26,28;114,113,119;202,148,110
00006259-02_4_full;37,32,64;185,199,208;196,131,99
00003823-01_4_full;190,190,192;33,33,35;216,169,139
00001603-03_4_full;213,212,210;74,64,63;229,176,144
00002361-02_1_front;245,238,232;37,33,34;234,198,172
00001868-02_7_additional;242,242,240;64,24,25;222,181,153
00004784-08_4_full;46,35,33;255,189,173;226,173,133
00002089-07_7_additional;204,218,221;42,46,58;214,172,148
00002988-02_4_full;16,15,11;25,30,36;198,150,130
00003278-01_1_front;225,219,223;151,160,169;221,181,156
00003318-03_1_front;129,132,141;192,207,214;231,212,195
00003806-02_4_full;217,222,226;37,41,50;230,199,179
00002632-03_1_front;229,197,172;44,15,11;225,182,148
00005202-01_4_full;25,25,25;50,72,96;209,171,150
00005536-06_4_full;227,107,109;66,91,122;188,135,104
00000093-01_4_full;240,236,235;43,69,94;231,199,178
00003423-03_4_full;242,191,108;244,244,242;217,180,154
00005919-03_1_front;41,40,56;182,194,210;223,175,163
00001400-02_4_full;198,186,186;59,59,61;216,166,141
00004772-02_4_full;232,229,222;44,42,43;197,139,93
00000258-07_7_additional;240,242,231;96,122,149;231,195,169
00002504-01_4_full;18,20,19;186,186,188;217,185,174
00002561-06_7_additional;255,237,236;56,92,128;238,217,196
00003208-16_1_front;49,43,43;244,222,199;243,195,155
00003195-06_4_full;240,236,235;248,214,202;220,174,148
00007638-01_4_full;37,36,32;44,67,99;220,172,149
00007094-02_4_full;245,244,240;40,35,31;237,173,125
00000331-01_1_front;255,254,255;40,35,39;207,147,111
00006506-03_7_additional;236,234,237;21,40,70;233,187,161
00006035-01_4_full;207,205,206;24,23,18;202,157,134
00002985-02_1_front;40,35,39;143,159,175;209,156,125
00001616-01_4_full;40,38,41;58,57,63;211,180,160
00005517-01_1_front;255,146,126;8,12,15;239,217,203
00007398-03_1_front;40,38,39;35,59,95;219,175,146
00007186-03_7_additional;74,73,79;39,38,44;243,213,187
00006768-06_7_additional;185,166,160;39,37,40;222,177,148
00007721-27_4_full;184,183,188;152,179,208;249,221,199
00002131-03_4_full;27,26,24;104,129,151;238,210,186
00006512-03_1_front;238,238,238;104,104,106;198,149,116
00002978-01_7_additional;31,42,74;232,230,233;229,193,169
00003460-04_4_full;235,231,228;78,73,79;217,178,161
00003672-06_4_full;196,190,190;252,252,252;239,186,144
00002414-02_4_full;249,249,249;74,117,159;177,121,96
00005368-01_1_front;243,242,240;199,216,226;239,220,203
00005282-02_1_front;140,124,125;11,12,14;235,198,169
00002577-03_4_full;22,72,183;234,234,236;178,127,100
00001717-02_1_front;232,229,224;33,26,18;213,178,159
00005975-02_1_front;206,205,210;46,44,45;227,200,179
00005706-03_1_front;246,246,246;54,73,115;229,193,169
00000994-01_4_full;255,255,255;33,29,30;222,173,140
00006602-01_4_full;38,37,45;156,181,211;251,223,201
00003343-07_4_full;251,248,255;150,174,200;240,204,178
00002287-05_7_additional;116,56,56;25,25,33;202,146,121
00000061-06_4_full;255,195,203;165,188,220;211,162,122
00004021-02_4_full;235,235,233;14,18,21;222,180,155
00006538-02_1_front;188,183,180;247,245,246;229,186,167
00002276-01_7_additional;45,36,39;229,229,229;239,172,119
00000433-06_4_full;243,240,235;212,219,225;232,200,177
00003660-07_7_additional;143,65,78;29,37,56;222,184,163
00005776-01_1_front;37,38,42;231,231,231;227,181,147
00001167-02_1_front;243,241,242;31,29,30;232,205,184
00002696-02_1_front;28,24,25;255,247,233;233,185,139
00005719-03_1_front;47,43,44;172,170,173;213,171,149
00003279-02_1_front;172,172,172;25,29,30;195,149,113
00007863-10_7_additional;196,198,211;228,228,228;198,134,107
00003035-01_4_full;191,214,228;248,246,247;237,195,171
00002856-01_4_full;49,38,36;22,15,7;244,209,177
00001576-03_1_front;245,243,244;221,217,218;237,209,187
00006901-06_1_front;227,226,232;175,187,199;223,178,159
00006450-07_4_full;66,45,52;84,119,161;226,186,160
00007118-02_1_front;28,41,57;123,157,182;209,156,124
00007320-02_4_full;40,38,39;33,40,58;233,202,181
00002392-01_4_full;212,220,231;134,155,160;229,192,166
00002678-48_4_full;141,206,198;47,45,50;230,190,164
00001352-01_7_additional;227,226,222;31,34,41;215,165,132
00006592-05_1_front;235,234,239;41,44,49;229,193,171
00005479-07_4_full;41,67,80;244,244,246;238,199,184
00002720-02_1_front;36,32,33;245,242,235;237,209,188
00003998-02_1_front;248,243,239;232,236,237;236,205,187
00006264-01_4_full;32,32,34;63,87,121;231,194,168
00003230-02_1_front;233,228,225;25,26,31;200,139,110
00007331-06_7_additional;183,182,188;74,103,147;229,188,168
00002132-02_1_front;201,193,191;15,27,41;199,150,120
00001680-01_1_front;208,171,142;28,26,29;226,189,170
00007807-06_7_additional;99,38,43;63,44,38;201,155,132
00006376-05_4_full;120,92,88;122,142,167;226,190,174
00007331-05_7_additional;226,215,209;79,99,134;220,171,141
00007544-06_4_full;176,202,227;157,158,160;153,84,55
00007139-06_1_front;200,181,175;168,4,31;222,169,138
00006815-02_4_full;198,194,191;48,40,38;249,218,190
00006528-01_1_front;240,241,245;20,21,26;223,182,162
00005081-01_7_additional;45,41,42;65,48,40;235,201,173
00001212-18_4_full;35,33,83;185,203,217;247,223,199
00003681-05_1_front;37,28,29;47,54,106;254,230,196
00001512-05_4_full;219,217,228;241,244,253;244,218,195
00002502-02_7_additional;43,41,65;33,29,30;215,172,156
00000628-03_1_front;249,246,241;83,96,141;246,203,169
00001011-05_1_front;249,249,251;39,44,64;210,164,141
00002065-01_4_full;255,251,248;27,24,19;236,196,171
00002928-03_1_front;249,249,251;139,149,159;219,190,174
00000623-03_1_front;56,47,48;254,254,254;232,171,126
00000979-01_4_full;28,24,21;236,234,235;200,144,107
00007982-12_7_additional;40,46,72;46,41,45;207,149,112
00007427-03_4_full;213,202,196;172,160,196;214,164,137
00000913-02_4_full;227,223,220;229,220,211;211,166,135
00001455-01_4_full;228,228,228;39,35,26;218,183,164
00006316-05_1_front;237,236,234;59,54,60;171,114,97
00003072-04_4_full;183,199,214;11,11,9;236,217,202
00000181-03_1_front;24,24,24;10,9,7;200,150,127
00002331-01_1_front;248,246,247;23,22,20;228,201,180
00006775-03_1_front;243,220,212;241,240,238;217,161,124
00006470-03_4_full;57,52,56;67,66,71;216,170,146
00000573-07_1_front;219,220,225;40,36,37;215,170,149
00005932-03_4_full;247,213,203;25,23,26;206,148,111
00001010-01_1_front;31,30,28;22,23,18;233,201,180
00002863-02_1_front;61,31,31;132,83,66;215,166,136
00000067-02_1_front;244,242,243;20,36,52;236,206,182
00001321-07_1_front;237,236,242;61,89,128;226,189,171
00005760-02_1_front;232,227,221;34,30,29;182,137,104
00003515-02_1_front;35,39,66;23,26,41;225,181,152
00005570-04_4_full;204,195,188;44,44,44;230,191,162
00002633-01_1_front;242,240,241;207,205,208;236,199,170
00003839-01_7_additional;244,253,252;21,20,16;233,220,211
00007136-02_1_front;228,227,223;45,27,23;238,208,182
00002472-03_4_full;246,243,236;8,0,0;230,184,160
00007971-01_7_additional;241,239,240;42,42,42;221,178,162
00000062-02_7_additional;228,224,212;26,25,21;217,164,122
00000370-05_7_additional;149,156,175;94,119,150;223,174,141
00003361-04_4_full;249,249,251;222,218,217;241,208,189
00007616-01_7_additional;168,140,139;63,61,66;233,189,162
00003917-14_4_full;237,236,234;192,202,211;249,222,193
00006257-01_1_front;56,47,42;44,42,43;210,149,118
00000573-08_1_front;96,95,101;39,34,38;235,207,186
00001512-12_1_front;109,96,64;89,114,145;217,176,146
00002089-11_1_front;247,220,211;15,19,30;224,192,171
00007715-01_4_full;33,31,32;234,232,233;190,132,95
00006056-04_4_full;250,250,250;49,45,46;241,185,138
00001102-03_4_full;41,38,45;36,38,50;228,184,159
00006657-04_4_full;243,242,247;44,40,41;237,197,172
00006433-03_4_full;241,245,244;43,43,71;226,205,184
00004860-06_4_full;27,22,19;186,197,203;238,201,172
00004283-05_4_full;232,235,240;234,233,231;215,160,129
00000860-02_7_additional;248,247,243;63,62,68;227,181,148
00003858-05_1_front;68,65,94;26,28,40;235,199,183
00003874-01_4_full;255,255,255;247,252,255;232,157,128
00002539-03_1_front;147,143,132;231,230,236;223,187,165
00007807-06_1_front;94,33,38;43,37,39;220,167,135
00006175-01_1_front;239,237,240;47,45,50;202,148,122
00007313-01_4_full;240,239,244;14,14,16;233,197,173
00002608-07_7_additional;81,17,34;161,180,194;220,182,159
00007542-07_4_full;245,241,240;28,27,23;232,186,163
00005030-02_4_full;10,11,15;60,98,145;215,166,134
00004282-02_4_full;42,37,43;245,249,252;231,183,147
00003926-01_1_front;32,32,32;52,47,54;238,211,194
00005302-01_7_additional;105,109,120;26,27,32;212,185,174
00007268-02_1_front;22,23,28;99,140,186;229,196,181
00002922-02_7_additional;29,43,80;167,185,197;228,196,175
00006646-02_4_full;223,223,225;204,213,220;235,203,180
00005085-16_4_full;205,54,99;28,31,40;228,169,135
00000517-01_4_full;195,213,227;181,170,168;194,158,144
00002198-02_1_front;62,107,146;10,13,20;232,201,181
00000592-03_7_additional;0,111,122;48,47,53;225,189,167
00002025-01_1_front;231,231,231;245,245,247;237,215,192
00005587-05_1_front;239,230,221;36,32,33;241,213,192
00007590-02_4_full;59,49,48;57,60,67;224,183,165
00001555-01_4_full;227,228,232;51,46,50;216,171,140
00004219-02_4_full;226,230,233;23,36,53;246,214,189
00001150-02_7_additional;245,243,248;42,67,97;236,203,184
00004654-02_4_full;231,229,232;157,180,196;189,151,128
00003601-02_1_front;64,36,59;18,19,14;230,194,160
00006014-01_4_full;30,30,32;42,42,44;221,180,160
00003508-02_7_additional;241,234,226;48,48,48;229,184,151
00005466-07_4_full;168,15,35;34,32,35;233,185,145
00002201-36_7_additional;222,221,219;125,153,167;244,222,199
00001690-02_7_additional;221,220,226;122,152,178;209,165,140
00001863-05_4_full;238,231,223;190,208,222;213,175,152
00007815-03_4_full;223,222,220;16,15,11;199,143,110
00006572-04_4_full;63,66,71;188,198,207;194,134,108
00004232-05_4_full;227,223,224;36,33,28;204,155,125
00005311-06_1_front;242,54,89;67,66,71;163,116,96
00003986-02_4_full;40,37,32;251,251,251;228,166,129
00000364-01_4_full;253,253,253;148,170,193;224,178,145
00002703-06_1_front;241,217,205;163,186,202;235,201,174
00005763-01_1_front;244,244,246;204,214,216;237,218,204
00006763-09_1_front;243,241,242;214,232,246;226,182,153
00007773-02_7_additional;38,33,29;162,188,205;221,170,127
00002182-02_4_full;39,28,36;252,252,254;225,174,145
00002670-01_4_full;35,37,50;31,29,30;217,170,150
00003858-06_7_additional;239,180,62;29,29,39;238,207,189
00005588-01_1_front;183,187,199;240,238,239;238,207,186
00001972-02_1_front;239,239,239;231,231,233;125,74,55
00002753-02_4_full;228,227,233;129,117,91;196,152,127
